File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,10:55:20,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:55:20
9/26/22,11:01:06,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:01:06
9/26/22,11:01:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:01:07
9/26/22,11:01:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:01:07
9/26/22,11:01:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:01:07
9/26/22,11:01:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:01:07
9/26/22,11:01:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:01:07
9/26/22,11:10:25,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:10:25
9/26/22,11:10:26,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:10:26
9/26/22,11:15:17,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:15:17
9/26/22,11:15:18,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:15:18
9/26/22,11:27:43,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:27:43
9/26/22,11:27:44,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:27:44
9/26/22,11:36:23,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:36:23
9/26/22,11:36:24,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:36:24
9/26/22,11:47:15,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:47:15
9/26/22,11:53:55,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,11:53:55
9/26/22,11:53:55,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,11:53:55
9/26/22,12:05:35,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:05:35
9/26/22,12:13:06,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,12:13:06
9/26/22,12:13:07,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:13:07
9/26/22,12:25:17,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:25:17
9/26/22,12:25:18,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,12:25:18
